t,z(t),v(t),a(t) (added)
6.399995,1.55117,-0.1509677,-155.117
6.419995,1.547531,-0.1819911,-154.7531
6.439995,1.543272,-0.2129417,-154.3272
6.459995,1.538396,-0.2438071,-153.8396
6.479995,1.532904,-0.274575,-153.2904
6.499995,1.526799,-0.3052331,-152.6799
6.519995,1.520084,-0.3357691,-152.0084
6.539995,1.512761,-0.3661708,-151.276
6.559995,1.504832,-0.396426,-150.4832
6.579995,1.496302,-0.4265226,-149.6302
6.599995,1.487173,-0.4564486,-148.7173
6.619995,1.477449,-0.4861921,-147.7449
6.639995,1.467134,-0.5157411,-146.7134
6.659995,1.456232,-0.5450838,-145.6232
6.679995,1.444748,-0.5742084,-144.4748
6.699995,1.432686,-0.6031033,-143.2686
6.719995,1.420051,-0.6317571,-142.0051
6.739995,1.406848,-0.6601581,-140.6848
6.759995,1.393082,-0.6882951,-139.3082
6.779994,1.378759,-0.7161567,-137.8759
6.799994,1.363884,-0.7437319,-136.3884
6.819994,1.348464,-0.7710096,-134.8464
6.839994,1.332504,-0.7979788,-133.2504
6.859994,1.316012,-0.8246289,-131.6012
6.879994,1.298993,-0.8509491,-129.8992
6.899994,1.281454,-0.8769289,-128.1454
6.919994,1.263403,-0.902558,-126.3403
6.939994,1.244846,-0.9278261,-124.4846
6.959994,1.225792,-0.952723,-122.5792
6.979994,1.206247,-0.9772389,-120.6247
6.999994,1.18622,-1.001364,-118.622
7.019994,1.165718,-1.025088,-116.5718
7.039994,1.14475,-1.048403,-114.475
7.059994,1.123324,-1.071298,-112.3324
7.079994,1.101449,-1.093764,-110.1449
7.099994,1.079133,-1.115793,-107.9133
7.119994,1.056386,-1.137376,-105.6385
7.139994,1.033215,-1.158503,-103.3215
7.159994,1.009632,-1.179168,-100.9632
7.179994,0.9856448,-1.19936,-98.56448
7.199994,0.9612633,-1.219073,-96.12633
7.219994,0.9364973,-1.238299,-93.64973
7.239994,0.9113567,-1.257028,-91.13567
7.259994,0.8858516,-1.275256,-88.58516
7.279994,0.8599921,-1.292973,-85.99921
7.299994,0.8337887,-1.310172,-83.37887
7.319994,0.8072518,-1.326848,-80.72517
7.339994,0.7803919,-1.342993,-78.03918
7.359994,0.7532198,-1.358601,-75.32198
7.379994,0.7257465,-1.373665,-72.57465
7.399994,0.6979829,-1.38818,-69.79829
7.419994,0.6699401,-1.40214,-66.99401
7.439994,0.6416293,-1.415539,-64.16293
7.459994,0.6130619,-1.428371,-61.30619
7.479994,0.5842493,-1.440633,-58.42493
7.499994,0.5552029,-1.452318,-55.52029
7.519994,0.5259345,-1.463422,-52.59344
7.539994,0.4964556,-1.47394,-49.64557
7.559994,0.4667782,-1.48387,-46.67783
7.579994,0.4369141,-1.493205,-43.69141
7.599994,0.4068753,-1.501943,-40.68753
7.619994,0.3766737,-1.510081,-37.66737
7.639994,0.3463214,-1.517614,-34.63214
7.659994,0.3158306,-1.524541,-31.58306
7.679994,0.2852134,-1.530857,-28.52134
7.699994,0.2544822,-1.536562,-25.44822
7.719994,0.2236492,-1.541651,-22.36492
7.739994,0.1927267,-1.546124,-19.27267
7.759994,0.1617271,-1.549979,-16.17271
7.779994,0.1306628,-1.553213,-13.06628
7.799994,0.0995463,-1.555827,-9.95463
7.819993,0.06838995,-1.557817,-6.838995
7.839993,0.03720625,-1.559185,-3.720625
7.859993,0.00600766,-1.559929,-0.600766
7.879993,-0.02519333,-1.56005,2.519333
7.899993,-0.05638424,-1.559546,5.638424
7.919993,-0.0875526,-1.558418,8.75526
7.939993,-0.1186859,-1.556667,11.86859
7.959993,-0.1497718,-1.554293,14.97718
7.979993,-0.1807977,-1.551298,18.07977
7.999993,-0.2117514,-1.547682,21.17514
8.019994,-0.2426203,-1.543447,24.26203
8.039994,-0.2733922,-1.538594,27.33922
8.059995,-0.3040547,-1.533126,30.40547
8.079995,-0.3345957,-1.527045,33.45956
8.099996,-0.3650027,-1.520353,36.50027
8.119996,-0.3952638,-1.513053,39.52638
8.139997,-0.4253668,-1.505148,42.53667
8.159997,-0.4552996,-1.496641,45.52996
8.179997,-0.4850503,-1.487535,48.50503
8.199998,-0.514607,-1.477834,51.46069
8.219998,-0.5439578,-1.467541,54.39578
8.239999,-0.573091,-1.456662,57.3091
8.259999,-0.6019951,-1.4452,60.1995
8.28,-0.6306583,-1.433161,63.06583
8.3,-0.6590692,-1.420547,65.90692
8.320001,-0.6872166,-1.407366,68.72166
8.340001,-0.715089,-1.393622,71.5089
8.360002,-0.7426754,-1.37932,74.26754
8.380002,-0.7699648,-1.364466,76.99648
8.400002,-0.7969461,-1.349067,79.69461
8.420003,-0.8236087,-1.333128,82.36087
8.440003,-0.8499418,-1.316656,84.99418
8.460004,-0.875935,-1.299657,87.5935
8.480004,-0.9015777,-1.282138,90.15777
8.500005,-0.9268599,-1.264107,92.68599
8.520005,-0.9517713,-1.24557,95.17712
8.540006,-0.976302,-1.226534,97.6302
8.560006,-1.000442,-1.207008,100.0442
8.580007,-1.024182,-1.186999,102.4182
8.600007,-1.047512,-1.166516,104.7512
8.620008,-1.070424,-1.145566,107.0424
8.640008,-1.092907,-1.124157,109.2907
8.660008,-1.114953,-1.102299,111.4953
8.680009,-1.136553,-1.08,113.6553
8.700009,-1.157698,-1.057269,115.7698
8.72001,-1.17838,-1.034115,117.8381
8.74001,-1.198591,-1.010547,119.8591
8.760011,-1.218323,-0.9865754,121.8323
8.780011,-1.237567,-0.962209,123.7567
8.800012,-1.256316,-0.9374576,125.6316
8.820012,-1.274563,-0.9123313,127.4563
8.840013,-1.2923,-0.88684,129.23
8.860013,-1.30952,-0.860994,130.952
8.880013,-1.326216,-0.8348036,132.6216
8.900014,-1.342381,-0.8082793,134.2381
8.920014,-1.35801,-0.7814317,135.801
8.940015,-1.373095,-0.7542715,137.3095
8.960015,-1.387632,-0.7268096,138.7632
8.980016,-1.401613,-0.699057,140.1613
9.000016,-1.415033,-0.6710247,141.5033
9.020017,-1.427888,-0.6427241,142.7888
9.040017,-1.440171,-0.6141663,144.0171
9.060018,-1.451878,-0.5853629,145.1878
9.080018,-1.463005,-0.5563254,146.3005
9.100019,-1.473546,-0.5270653,147.3546
9.120019,-1.483498,-0.4975944,148.3498
9.140019,-1.492856,-0.4679244,149.2856
9.16002,-1.501618,-0.4380673,150.1618
9.18002,-1.509778,-0.4080349,150.9778
9.200021,-1.517335,-0.3778393,151.7335
9.220021,-1.524285,-0.3474926,152.4285
